user,commentText
FuZiioN,"Hey dude, you might have a fix for it, since you use Shadowplay as well. As far as I have tested, I only have stuttering in Overwatch, but not always, it comes from time to time, sometimes full gameplays are not affected. Sometimes, the video is halfway through just broken, not able to be played. Only affects Overwatch. Any idea?"
CryTec,Watched the whole vid me and squad won 5 games I 4hrs is that pretty good
jerm lamar,you said punching tires twice lol
Kaydein Fraser,"5:12 - 5:16 , When you remember your parents are home"
KingCamelFromTheMightyJungle,He may as well have just said all controls as the 100 tips if he thinks THOSE are tips and tricks
Fence Bb,If your teammate doesn’t speak English shoot him and take the loot.  Communication is key but a m4 is more key.
Greed is Bad,"""that annoying REEE""
Fucking lost it there"
xECL1PS3x,Sweet video dude I was wondering about the spawn island lol
Brandon on,why are your videos so saturated?
bakersmileyface,"Camp there with a VSS and i'm set for a fun game?

Shame. You and me have a very different idea of what a fun game is.
And I also dislike the VSS because of it's poor damage. Give me an AWM or a M24 and i'll be set though. I'll settle for a Kar98."
John Mitchell,It’s technically like 92 tips and punching tires
guitar 101,dont stand in the fogg ona hill
I feel sorry,How do I cook grenades on console
Toast,"Dude, are you using music from EpidemicSound?"
afgmirmir,shouldve taken out all the useless tips and ones that literally arent tips. Wouldve made the video shorter.
Andy Searle,"Omg. Chill people. Yes, well done he said punch tires twice,I'm sure he didn't mean to. And yes he got the hotkey for the voice chat wrong literally everyone corrects him"
skabbymuff111,"This is brilliant, thanks mate!"
Stelios Karaoglanis,"08:57 it's ctrl - M
Ctrl - T mutes voice chat"
MadmanPatty,Some of these were very informative. Thanks man!
windrimondo,"your ""beeep"" from flash bang had my dying. idk why."
Cherry Aid,Jumping out of boat doesn’t work just tried it and it killed me
Yuki,ty man. nice work
Jack McAleer,Alt f4 to win every time
Arsea,BUGGGY 8:51
Craig Doughty,Half of these are common sense...
FlySaucey God,6:18 what would be the alt key on Xbox??
rupper,lmao that flashbang voice ``weee``
XXX Kanashimi,Can you do a console one?
KW,You said you could punch out tires 2 times inn the video
KW,"You don`t mute game with ""control + t"" you do it with ""control + m"""
Guillaume Gagner,you should do a top 10 looting spot that is low crowded area
Guillaume Gagner,nice man i played alot and now i know afew more tricks !
James T.,Best compilation of pubg tips I've seen. Thanks.
Otto Ingemann,Switch Seat on ctrl 1 pr ctrl 2 or 3 or 4
BrokeKibblez,Anybody else get solid 130 fps on ultra?
Kiwi Skateboarding,I got a knives out ad
HRTNDRBLD,5:05 Solid Kickflip xD
Andrew Lokkebo,Can't shoot through water in real life either. Bullets will fragment almost instantly upon hitting water.
Crazy Cajun,really nice video! thx dude!
Sean Dillon,You sound like the narrator from interplanetary tv in rick and morty
TI Bayonex,"Tip 101: Don't queue with someone named ""Bayonex"", I'm hot garbage."
Asouro,Song/music?
Limitless Gaming,when running near a hill run about 3/4 of the way up if getting to the top isn't your objective at that point. This gives the option of running to the bottom or up to the top if your attacked. Chances are that far up people wont notice you anyway.
Spartan JDS,No a-fence but your ps looks like a high tech coffee maker that also makes the cup
wnnetwork,best tip. in 2s down a player and instantly kill him. run away. this will ruin their day
Robin van den Berg,"Lol, the ad on this vid is of some DIRECT copy of PUBG. What a bullshit."
Marco Penuela,I’m sure I’ll remember all of this in game  :D
90 days till my next name change,Get the pan
Alvin C. Wyane,4:44 should be PEEK not PEAK.
Callum Mills,Anyone else see that at 5:52!
Poody Plays,"13:27 best tip, and I've been playing for over 40hrs"
Ian O'Leary,He said punch out tires twice
Gabriel Roque,Omfg it’s so cringey😂
Spicy Ramen,"Tips






The buggy can spawn with lights on"
Ailuxes,I love your voice man.
Moobie Tube,4:15 Im not a rapper
El Barto,"You can't shoot through water anywhere past about a foot under the surface, any deeper and they have lost to much speed and stop completely just a little deeper. Most bullets will skip off the top of the water unless your right up next to it shooting down."
KingKhuz,Can you give me your shadowplay settings mate?
Zsombor ZS,"In 1.0 you can spam bandages, dont have to wait.
Mute the game voice with Ctrl+M"
Mathieu Wilson,Which tips don't apply since the new patch? Do you know yet?
jake vuckturd,4 ads in 20 minutes.
Trevor Goodchild,Lmao yalk talk about vaulting like its the greatest thing to ever enter the game. That shit doesnt work on even half of the walls and ledges it should
kurotsuya,I'm so bad at this game.
Keiro Aivel,"VSS Vintorez Tip- The Chevrons indicate 100meters. The little sloped boxes perfectly fit an enemy at 100, 200, 300, and 400 meters going from left to right. To clarify the sloped boxes, I mean from the point where the slope intersects the vertical line to the bottom horizontal line.
TL;DR - The scope is a rangefinder"
NekoDri,best tip i got was the call teammates for color... thanks god... take my like
Enzo Enrico,"9:35 useless in 1.0, they stack as you put them on you"
Niac,"How does your game look so vibrant and colorful, is it because of the editing or do you actually play like that?"
Fin K,Players are greedy he says whilst holding two airdrop weapons XD
Riccardo Wilimschyk,i jumped yesterday out of my car against a tree... it worked. i didnt get any dmg
Fantano's Yellow Flannel,"You young lads wouldn't expect someone like myself to play PUBG because I'm a 93 year old woman with 14 grandkids! However, I pwn n00bz each day of the week sonny so don't come around here with that weak shit ! merry Christmas sonny god bless"
Gruzi,Lol you put punch tires twice
Thomas Ferlauto,1:26- Note that it is not optimal if the enemy is facing the nose of the car. (Bowling effect)
Simon William,Even though it would be hard to make a 100 tip video you could have just gotten rid of all the repeats and just made it a 75 tip video
zombie071,tips 1-10 you can shoot tires thanks
KabutoRyu,"damn your rig, LOVE IT xD"
PUBG.Funny Clips :D,15:09 wtf there was like 60 people left how come u came 27th?
Kerozen,how do you have such a high fov in 3rd person?
c3well,"wow, youre really awesome, i love your content:)"
Deviant Affinity,"So I've heard a bunch of these before, but across what seems like a million videos chock-full of egos rambling about irrelevant bullshit for 10 minutes before mumbling just one or two of the little nuggets presented here.  Thank you!  I'm relatively new to PUBG and  this has been much appreciated.  Subscribed..."
F.3.4.R,press alt f4 to instantly win
T_MontageKing,First person to reply is gao
Greyslopp,Fugglet I like that name
Rey Suarez,ALMOST 200K SUBS
DecoyNade,ty! great video!
Nuvola Cielo,A bunch of Useful shit. Thanks alot bro (y) love your vid
Kanon,You listed ouch out tires twice lol
sungam69,literally well done but .. I mean.
Samuel HIRN,11:30
Peter Rask,"hi, if u want South park cheap click here. https://www.g2a.com/r/prcheapsouthpark"
I've abandoned my humanity,Rofl the intro
RaspBerry Tea,Punching tires out is in here 3 times.
takosan87,"good luck caling collors when playing with collour blinds ^^
they have different collors for the marks ^^"
Barron Wiles,You said punching tires twice 👍
Eclipse,Said punch tire twice lol idc tho tough to get 100 tips and and tricks well done love your videos keep it up!!!
Max Otto,There needs to be a medical item which revives teamates in 1 second
Alejandro,"Excellent video, thanks!!"
Isaiah Kellam,The way you presented these was kinda poor. I understand you had to make it quick but it seemed like at some points you didn’t know what you were gonna say
KosovaGames,u need a new subscriber :D and thats ME i subscribed ♥
Bartosz ktoosiu,youve made punching tire twice
Menthix,95 Useless Tips and Tricks - Learn Stupid Shit | PUBG**
eéro,Vitun paska video:#
ChickenVap0r,16:40 It's called communism
Simple Circuits,"Ctrl+M to mute game, Ctrl+T to mute comms"
9fly,16:06 you forgot about color blindness xd
retraspect,Idk why but I feel like the name fugglet doesn’t fit you. But that’s just me
5upl1an,"""It's all about being nice"" ... It's like you're speaking chinese or something."
Ufuk Gülsaçan,hello from turkey
Ufuk Gülsaçan,you are te best !!
Wyatt Huff,Can we punch out tires? Lol
Ez Does it,"Don't keep the compensator. It's always best to keep your position quiet. Likely to draw more unwanted fire if you're shooting back with a compensator. 
Rule #101 3rd person is for bitches"
Theodor Høyum,Suppressors should compensate. Due to the added weight and length of the suppressor it gives the bullet a longer travel range as well as a heavier front. This in turn reduces the bullet spread as well as recoil.
NewGoldStandard,"great content, thanks!"
OTL The High Temple of Spam,How do you deal with hackers? OC server is currently getting fucked by then hard every other game I die to them and every game the kill feed lights up with super suspect shit like 7 dead from head shots in 5 seconds by one player. It's a real shame.
Ryan Nash,R.I.P Fugglet's stats after this video.
Christopher Duncan,"""If you look away from flash bangs, they will not flash you"" wow who'd a thunk it"
Christian,You forgot... Left click to shoot
Venzoo,omigud 20 min vid but loved it
Rakika,Nice vid
LittleLoyal,You can still jump out of vehicles bruh
LittleLoyal,“Smokes are client side” WHAT THE FUCK MY WHOLE LIFE HAS BEEN A LIE THATS WHY I GET SHOT THROUGH SMOKE
Filow,He talks so depressed. lul
Andy Potato,What's this game about?
JyeJye,And at 18:30 when he talked about the jump punch he didn’t even do it 😂
JyeJye,He said u can punch out tires with your fists twice lmao. Like the most Un useful thing he listed throughout the vid and he says it twice 😂 great vid tho
JyeJye,The spot at 12:50 I bet he got from aculite
Random_Typical _MLG_Horse,Anyone that play Xbox excited about December 12
Wes Tolson,"You said you can punch out tires twice and said that the mute game sound was CTRL+T, but it's CTRL+M (by default)"
HakonH,Can you punch out tires with fists though?
Frank Ruiz,"I enjoy your channel very much. You have a great attitude and I don't know why, but you crack me the fuck up."
thujam,200k face reveal
Mr. MOOSE,what mask is that
aftergrassxie,"thank you for doing this tutorial video, love you Fugglet"
Fabio Sznicer,"Kudos para o conteúdo do Vídeo! Perdoe-me pela intrusão, estou ansioso para compartilhar com você o incrível site que está fornecendo um monte de chaves de jogos grátis. Se você quiser obter um apenas faça uma pesquisa para ""skypisgame"" no google"
Dave,Oh my god! This just got you at least 1 new sub! Me.
EJB9,"Whenever I open my mouth, find a scope or anything, my teammates make up reasons why they should have the item. For example, ‘I should get the scope because I have an SKS’ but deep down, I know it’s not going to help them, but on the off chance it does..."
Nemesi,"CTRL+T doesn't mute main game sound. It mutes the VOIP.

CTRL+M is the one that mutes the ingame sound."
Trind,"Wait, if i jump while i go backwards. isnt it that im looking forward, and im jumping to my backward?"
Nifty Mint,Whats the first background song??? PLEASE HELP D:
Ben Payne,"For the air drop drop time, I have a vid up on my channel of a drop over Stalber - the plane is super low"
mikegilkim,Another tip: you can kill your team if its to bossy or annoying...
The 330 Show,"Hey guys Im trying to make a new channel for gaming, cars, tech and other things like that if you could just check it out that would be awesome! https://www.youtube.com/channel/UCfwZdrLi7_AFeCUpvggu-Ow?view_as=subscriber"
James Edwards,Tip you may already know: You don't have to switch grenades by dragging in your inventory... you can just keep double tapping the grenade key and it will cycle through each grenade type that you currently have.
luke oneill,swt but those hackers
John Aldrin Co,"Focus the diver
Kill the driver
The driver teammate will change seat...."
Quniverse,"these were great, good shit!"
DaBeast34,Nice tips
Rekross 101,The keyboard keys that lets you use Med kits etc
Maarten,15:08
Ian David,Excellent video. 'You can punch tyres... that's a thing'. :D
FunWithFex,"Fugglet you should change screen scale to 100 instead of 120 bcuz all it does is downscale a higher resolution, very little impact on visuals and big impact on FPS"
Eugene Fadeev,"KAmeshki, not KamEshki -))"
DesertHawk 00,Can iBUYPOWER WA8140A handle PUBG? Also can you recommend Gaming Desktops under 500$
GamingWithDaRk,Song in video pls?
Purna Khatiwada,So when is vaulting coming to live servers? Date?
Koko Robert,"Excellent video clip! Apologies for the intrusion, I am excited to sharing for you the super site that are giving out many free keys. If you want to get one simply search for "" skypisgame "" on google"
Jurkit Turkit,Punch out tires x2
Dave cz,http://pubgboxes.com/promo/Dave
Saladbetch,Punch a tire :v sounds like Pet's voice :v
SpaceMeister,This helped alot! Thanks bro.
MATT2P,whats the song that's playing at 12:00?
Neil Andblowmee,Can we punch out tires though???
cuck,Like to die instantly
Wotts Trash,There is also a roof spot near rozhok
kopes28,So does lowering view distance in this game matter? That is the only setting that I have set on High
Mike D,"You can zoom in with the red dot, holo and iron sights by holding shift."
CC DixoN,"thats 97, not 100"
MeroTheOriginal,"16:06 Call your color doesn't work becouse its Clientside, annnd some other stuff that was mentioned before, otherwise nice job on the video."
majus majusen,Actual good tipsn tricks video
H.R. VILLANO,"That "" YOU WILL STILL GET THE ANNOYING WIIIIII"" was funny haha"
David george,The most useful PUBG video I have seen.
kyler ginanni,Your information is so skewed and inaccurate its ridiculous. Also failed on things you demonstrated because you did them incorrectly...
aerkain,kudoz
kyler ginanni,Cntr M is to mute mast volume not cntr T
RedRangerBT,"You can still jump out of moving vehicles if you hit the tree directly and not move, my mate did it just yesterday"
Vincent Skat-Rørdam,Videoen har hjulpet mig meget! Bliv ved mand! Elsker dine videoer! ❤️
Group13Marco Pacana,"Why is view distance better with ""very low"" than ""ultra""?"
actuallywill,"Shadowplay, for me, is only good for recording, which it is amazing at.
For streaming, because I have a ryzen 1700 at 3.975ghz I won't use my gpu (NVENC) to stream, ONLY my cpu (x264 encoding) because it looks literally amazing in comparison to gpu streaming, and the gaming impact is only around 10% most of the time."
anlgzln66,Thanks for the awesome Vid :)
kissebestyen kornel,background music's name? pls i need it its soo goood
Niggut,"I appreciate your hard work, thanks"
Lucas Agnehus,ur awesome
ForzaE2,Some of the items called twice but still good if not the best tips out there.
Mvem,"""I think it is about 60 because it's not 50""

Fugglet with the mind-blowing insight"
TranquillShot,"Tip: Don't underestimate jsut how loud your feet are. If sneaking on prey, slow walk/crouch 3x as early as you need to.

That's by far my most important one."
kAjs,"CTRL + T only mutes the Voice chat for me, I need to press CTRL + M to mute the whole game"
let me tell you,don´t give away all my strats... :/
Iqbal Ardhana,such a nice guy :)
big boy,"The last tip is one of the best for new players, I used to always let people pass me by because I didn't want to use my 60 bullets and 1 first aid. Chances are they have some replacement loot anyway."
xrosso,15:32 doesnt work anymore
Murasimu,Dude you got 200iq right
Jake Hamilton,great video but you said that you can punch tires out twice
Sunny Tater,I was a bit suprised that I didn't see a tip about shooting or punching out windows to see better and prevent gun lowering when shooting.
Nullamount,I don't even play pubg. Lol
NicGlol,"the 0.5 seconds thing from using an item depends on your specific latency to the server too, it's not a blanket thing for everyone, I've tried it lots of times and it never works at 0.5 but does at 0.3 which is still worth knowing"
OFC SilEnce,How do you loot faster while running through?  What are the keys on the keyboard for that?
[R-K] WARLORD,"""Parashute""  ~ Fugglet 2017

For real though nice video, i have 500+ hours in the game and still learned several new things, keep up the good shit this is why i subscribed."
Alain Benito,"""Players are greedy"" he says with two supply drop weapons"
reid b,IVE BEEN HOLDING F FOR MONTHS JESUS CHRIST
MusimilianMax,8:41 and 14:40 xd
Wyatt Marshall,How come when you move loot around in inventory it goes so fast?
DarkGames,I still don't know how do you do that long jump while running
Vertigo,MUTING SOUND IS CTRL M NOT T! CRTL T IS FOR VOICE CHAT
Kwint MK,"Thanks for this video, Fugglet, that's so useful now"
PenguinOWN,8:55 ctrl+t to mute voice communication. ctrl+m to mute the game sounds.
srpjr3795,"Fugglet, you are an absolute certified beauty. These videos are so great man, I like them before I even watch lol. Really fantastic content, honestly. Thank you so much for everything!"
Saucy Biscuit,ctrl M for mute not ctrl T :D
TheGamingCode,6:44 Naaaadeee
xxxAtention,Awesome
Puppy Casey,"Add this to your own game, Fugglet:
After tagging someone w. a bolt action sniper, swap to your AR to easily finish them off."
Andrew Wolles,"Nice channel. Thank you!
P. S. Kameshki is pronounced ""cUmeshki"".
From Russia with love."
Clementine,reeeeeeee
Christian Nicole Querubin,What's ur current pc specs?
Alexander Kvarven,"10:02 | Jumping out of moving vehicles - Does no longer work, save the pain, don’t be like me.

You can do this - trust me!"
Michael Scheller,Dont trust any vehicle :D
Myles Wilson,100 tips and Ads*
mourazito,40 bullets to blow up a car
Taqiy Elmaadi,face reveal please
Idan Leder,8:35 there is a water but it's a glitch so...
John Smith,It’s CTRL+M to mute master volume it’s CTRL+T to mute in game voice chat
_baKa_,"Great video man, most of the things I would point out already have I think. But thought I would just add my two cents. @ 19:30 you said the drop always lands in the blue, it might have been worth pointing out that 1st drop ALWAYS lands within the first white zone"
Mikael Nyholm Flatow,i sub
shi77e,i got 5 netflix luke cage ads -__
Chook,"Great video yet again man. Trying to do PUBG like you, would like to know how I could improve. Any other feedback is great :D"
Dust,Instructions unclear: used bike and killed myself and lost the game :(
Flamy500,Hey didnt know if you knew but vaulting is coming out soon.
William Valencia,The best tip i got from watching your videos was to be aggressive. I have played so many games getting my loot and hiding until late game just to get popped in the head. I have so many chicken dinners now that I move around to see where the shot came from to shoot back. Thanks Fug
DiseasedMoss,you forgot to mention that you can punch out tires with your hands
googs cookies,Tf is my audio delay
Syntrex,Great video!
Pinnacle Gaming,"Thanks Mate, there were a few there that I didn't. Since you were mentioning Patch 1.0 a fair bit one change is that the buggy in patch 1.0 now needs boost to get to the top speed. I made a video about the vehicle changes and that was one of my findings."
RoadmanShaq,what country are you from?
dLFN,Your channel grows faster than my penis during intercourse
SuPah MaNg,"I have a challenge: u have to reload after every shot on every gun so for ex: boom reload, boom reload, boom reload"
Antonio Aiello,Nice work.
Ranzoepwns,"""I dont use the level 3 backpack in solos"" then last clip u use a Level 3 Backpack in solos xD"
LV Ice,"""beeep"" xD
3:50"
Willienickers,5:54 he says 100x10 is 1000
Frostside Blitz,Fugglet you said that you can punch out tires with your fists twice
Some Boy,This helped me quite a bit! Thanks Fugglet :P
Jaxx,Song titles please
Noah Burns,Challenge: Suicide bomb the last guy
U Kno,"flashbang cooking is 2,5 sec before explode!"
Cloud Gaming,"Awesome tips and trick, crouching while walking on the water tips was very useful. 
And the jumping out of the vehicles trick, i kept trying like a fool not knowing that the trick doesn't work anymore. 
Nice video man :D"
xxdogefanxx,You did punching tyres out twice
Cobalt19,this was great info vid bro. keep em coming!
YouMadBro Videos,2:35 i died same with motorbike. I just tried to go on 2nd floor in house xD i flip on the half way of stairs then tried to pick bike again but it exploded.....
DR- Panda,"Hello fugglet nice video man i have a new challenge for you i hope u like it 
the challenge is to win a game while u press Ctrl + M (u cant hear anything ) 
guys give me a like so he read"
XxTheKidGamerXx,"You accidentally said Ctrl+T mutes game chat when it only mutes game chat 
Ctrl+M mutes game volume"
Kryptic Clan,Do a only VSS challenge
Joshua Torres,You should try the McCree challenge. Where you can only use a revolver with stun grenades
Luthais,Congrats my bud. Told you 250K the end of the year and youll hit it buddy. Thank you very much for the How to record and edit video. Really means alot for the small guys. Great content buddy.
Crunchy Doodle,8:58 | Ain't it Ctrl + M? And Control + T for Voice Chat?
Der Pudding,"You can also do Roofjumps on some little 2 stock buildings, with the attic. 
If there are boxes nearby, you can kinda crouch jump onto them and get on the roof, pretty neat spot for sniping."
Roy McLovetoy,Most important trick you missed is that you can Dab while dropping from the plane by pressing D .
Roy McLovetoy,Maybe another good tip would be that you can destroy doors and little huts (just like you did in the last clip)
Lui21k Vokshi,When will patch 1.0 be live????
NorCalSaint,"How about a camping challenge? You are not allowed to hunt anyone down, you must let them come to you :)"
Simon Müller,Just a comment to push this video...
ItzGamerBroz CS:GO & More,You spelled Peek wrong.....
Taavi Ving,BTW you listed you can punch out tires twice so it 99 tips
Daryl Jan Marquez,ei fugglet i'm a big fan of yours. kinda wondering what music are you using in your videos and by the way you sound like allday! makes me even wonder if your the same person lol :D
Hex Golo,"Can you do the no heal challenge please.
 That means no bandage, no first aid, no med kit, no adrenaline syringe, no energy drink, no painkiller"
El_Bratto,always kill the knocks to make sure to fuck up the other teams day
Hadi Muhammad,"Tips 101 , subscribe to fugglet and all dem vids and you will get better"
papillon commando,"""howlow"""
melvin wamelink,"The jumping upto Hills doesnt work on the new update anymore, it Didnt work on the test server"
Doruk Kaptan,But can you punch out the tires tho ?
soulshuffle,Ctrl m is mute volume Ctrl t is mute voice chat l o l
Kasrowi,jumping out of vehicle its still works i think
Wheel333,Congrats 150k subs man . Best tips vid ever. Thanks for your hard work.
Rory Farrow,"Best PUBG content out there, keep up the high quality mate."
RastaRocker614(2.0):D,https://www.youtube.com/watch?v=98la3iJflOY when this channel has that custom server access and is making fuggie type vids :P
Sam Trần,Who the hell would dislike this video!! Some jealous people..~ :v
Sam Trần,You are amazing and i love ur video so much dude!! You will be a super famous PUBG player in the future i can tell :D btw i have a question~ the view distance settings... Does it help me look clearer or farrer if i set at high settings?? Wot about very low.. Which is better for spotting the enemies..? Please answer me soon! :> keep up the good work fugglet ^^
ömer büke,Pls Sniper Rifle Challange.Only Use Sniper Rifle (except mini 14)
7crimE,"U are a god, thanks a lot for these tips :)"
"My penis is unbelievably small, but",HELL YEAH BEEN WAITING FOR SOMETHING LIKE THIS!!! AND FROM YOU FUGGLET??? WHOHO IM IN HEAVEN
Doruk Can Gökbulut,"In squad focus the car not the driver, 4 men shooting up a car and it will blow up in no time keeping you away from killing 4 players 1 by 1"
Turre,Man that 3 seater...
TheFlyingZeus,"Instead of y'all crying that punching tires is in there twice and that it's Ctrl + M you can also just appreciate the heck of amount of effort Fugglet put into this video. Even if you didnt mean it in a negative way, 1 reaction would have been more than enough.

Great video Fugglet! Have a nice weekend :)"
YungAce,DO A FUCKING FACE REVEAL FOR 200 K !
Tobias Bikker,Awesome video 💪
frederik pape,"Jeg har en Challenge, du skal ikke bruge scopes. Så vss og bue må ikke bruges. :)"
qDevid,"13:27 ""left click"" not key ;)"
Hedss,Love it
AnimeRising,I've been here since 47k
Quaweds,"7:25 I used to think it was better to do Painkiller then energy drink, but the painkiller lasts long... thats why its better to do the painkiller 2nd."
You must be fun at Party’s,12:15 Why tf would you wanna point your gun up in the sky???😂😂
AlexYRN,You can also move around with your W A S D keys as default binds
AlexYRN,You said punching tires like 3 times
Zamys,If the lvl 3 helmet has took a bit damage and you get headshotted with Kar it will kill you. It has happened to me before
Paul's Shack,punch out tired was twice buy still very good video
Onyx,you da best fugglet
JD Aledo,finally i was wondering why my nades aren't cooking.. thanks fugg
Ryzze,I’ve got at challenge: The controller challenge. You have to use a controller which you connected to your pc
-_BEAST_-,Thx
Lucky Lenny,holy shit very nice video
Dave — —,Good stuff 👍👍
Oh Yeah Yeah,I need to use My thumb buttons for macros cus my mouse button doesnt work
Al Samiu Ahmed,Stop with all the negative comments! He really put a lot of effort into this.
Sandman,5:00 Parachute not parashute :P
EeliAsser,Game sound mute is control+m not control+t
DeadAvo,Awww you’ve done some of these already tho :(
Rayhan Akbar,Nice clickbait title fugglet :^)
Knobby Gaming,Flash hider does not actually completely hide your flash it only suppresses it while a suppressor completely hides your flash. Also you can bind change to driver seat too Shift+w so its easy to change seats.
4ONE6,I'm 15 mins in and these tips and tricks are more common sense than anything else...
name not found,This is compilation
Lil Blacky !!,O actually saw the all 100 tips you're a good pubg channel love u and keep play.
Jacob Games,You can in fact jump out of moving cars still. I did it yesterday with my friends.
ARKocholik,for holding that LMB to watch my shot travel ... you suuuure erned a like my friend xD
Rogal Dorn,"Do a challenge where you always offer peace. If they say no or don't respond, wipe them out. If they respond friendly, give them some supplies and wish them well. The Kind Stranger Challenge!"
ToucannPlayz,1:20 me and my friends call that god spot lol
Alex 5432,"WAIT WAIT WAIT!!!! ARE YOU SAYING IF GO BACKWARDS JUMPING YOU'RE FASTER?
 ~DeSinc will be God..."
Yunus Yalim,"Hello for Assualt rifles or any gun. Fugglet can you explain to me Single fire, Burst Fire and Auto fire. Which is good? What is better in situations and stuff. Im new to pubg and all. Will appreciate the help thanks"
Leo Zhang,"TITLE:100 Tips and Tricks - Learn Everything | PUBG
THUMBNAIL: a UAZ flipping over
ME: ""Seems legit.""
*CLICK*"
JustAnyGamer,"Hey, did you also know you can punch out tires with your fists"
SuperSpartanMan,"You can walk up in other spots on the bridge, not the only spot"
abizer rangwala,They should add impact grenade
abizer rangwala,U can jump out of cars really close to the wall and land in house or hut it is great 👌😉😏
bootymagiclol,"What about flash hiders being useful in fog and rain maps to not reveal your location visually? I find that kind of useful at least, but I still prefer suppressed or compensate of course. What do you guys think?"
Jake JOHNSON,Congrats on 150k!
cortedemico,"similar to your last tip, a BF player/friend said: NEVER DIE WITH GRENADES. stuck with me for years. probably applies to the whole kit in this one. 
git gud"
Benjamin Vezina,talk about full aggression at the end threw 2 nades and emptied a clip into a wooden shed and then u finally got him while he was outside it
pqr590,It would be sick if you chartered these for quick access
pqr590,"Is the holding down s, then w to bypass the 234km boost a new thing?"
Ryan Ianaro,"Do you seriously want view distance at very low? I understand you can see people at max distance but doesn't very low distance keep things like buildings, shacks, cars from being spotted anywhere from 50-100 meters away?"
Azmol,When is patch 1.0 coming out.
Hugh Mungus,"3:47 ""if you look away from flash bangs, you will not get flashed."" No really?"
Adawn2k,I think he ment ctrl m
Soragan,what are the songs used ?
dewcodered88,Dude love the vid
HobbiePlays,Hello sorry im late its only 10 : 04 am
Willbobbob,song?
Billy Bub,Is it healthy that I only not knew 2 of these?
Axel Larsson,the backpack from airdrops becomes invis if you have ghillie suit
00felixb,Såååå när ska man få pølse dinner? Hej från sverigeland
MarkPowPow,8:55 * ctrl+M
GES,u didnt take time to make this
ihcTactics,"7:42 Cars can spawn with brake lights on. This is useless. Just park near a spawn point and leave. 10:37 | 10:50 if you're going to demo in-game sounds, don't modify the levels. Your voice is WAY louder and you can't hear fuckall at that point."
REEE,"2 tires getting punched out?
we've been scammed out of a tip
UNSUBSCRIBE"
NarwhaleMan,"Your so fucking good. As a Youtuber and  a PUBG player. Love your shit, keep it up."
Liam Shurman,"Can u find like a solid friend to play duos with, it would add more spice to your vids in my opinion like someone as good as you"
Vito,Insane job done in this video wow
Mille Bengtsson,"I subscribed to you a few months back when you had about 10k subs. Now you have 150k… Damn you are growing fast, keep up this good work and you WILL reach a million subscribers in no time."
Im Notme,Also don't drop to high populated areas if your internet is lagging lol it's laggy as shit for the 1st minute of the game for some reason
Feint,Congrats man!
Fredrik Gaudestad,10:04 Im still able to do it
Animosityx,"Loot at spawn island has been nerfed?
HA NERFED IS AN UNDERSTATEMENT"
Eke,Great video as always! I knew only like half of these so there were some new great tips and tricks for me 👍
Fly,You can ram a beached boat with a UAV to get it back into the water
Taihou_chan,feels like Fugglet was a small channel yesterday...
KahviMuki,Good video i learned lot of new things even i have 600h in pubg THANKS! And btw you are the best pubg youtuber and video maker! Love you man [No homo]
Jake Macdonnell,"Thanks Fugglet, love your content man keep it up!"
Shunrar,downvote because of double tire fist punching tip... (not really)
Fernando Montoya,"1. Congrats for the new rig, it took like 6 weeks to arrive, but definitely worth it.
2. Thanks for the video, gonna be honest, only thing I didn't know was the left alt key when firing a sniper.
3. I found a lot of weird/advantage spots, I guess I could make a video of it.
4. I learned that crates location would set next circle, they changed it, now it drops anywhere.

Hope one day we could play together! I am montogeek on Steam"
Viktor Granberg,"Fugglet, i have a question. Does the Bullet Loops help the reload speed on the S686?"
TheTargetlockon,"Ctrl + M for muting the master volume of the game, Ctrl + T for muting just voice chat."
RiZeDK,You can switch vehicle seats with ctrl 1-2-3-4 etc. did you not know this?
Francisco Belmar,Positips Content
v KEITH v,"Awesome video man, been subbed since like 20k"
Leo,Tip #101 - Hoard grenades for the late game and spam them in the general direction of players.
frederik pape,"hey, jeg ville bare spørge om du kunne lave en challenge hvor du skal dræbe alle du ser med en bil."
Dan Niet,13:27 only works when you have hold aim and not toggle right?
Castaway__,You can't vault on the door to get on the roof jumps
Doccy Stars,You can punch out tires with your fist
Yuiop,"I was hoping you would give footage of the difference between jumping and not jumping when throwing grenades, but otherwise this is a great video and I definitely learned a few things."
Gui Candida,Do a no meds challenge
Tom Oates,Do more challenges Fugglet. They are best!!!
Kristinn Halldórsson,"Love your shit, i liturally like every video before i watch"
The PineApple,"99 tips, said punch out tires with fists twice REEEEEEEEEEEEEEEEEE"
XxstylerxX M,Thank you very Nice Video
Twistt,if you dont like your friends simply shoot them
Gamblerscop,"they should make u loose rating when you leave a game, just sayin"
etieti12,omg very nice  video for trick!!! fugglet!
MUFLII,Song 17:45 Name?
olle liljemon,You are awsome <33
K S,17:45  name of track please ?
Samurai_,You can in fact still jump out of a moving vehicle as long as you hit square on the solid object
Sher,לא הבנתי כלום כפרה
Stefcho2012,"best PUBG YouTuber ever



almost typed breast in stead of best oops"
Julian Muñoz,Fugglet Would not you like to try another game ???
Saya Sasamiya,"I fucking love this guy. No bullshit, quality content"
SKiLeD,why do i love your vids so much
MaHoX HD,when you die you are drowning
Berosar,you can parachute faster than 234 by tapping w repeatedly. you can get over 240
